0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance
55,2019.03.22,00:00,1.31009,1.32238,1.30812,1.32089,155787,1,0,0,0,0,0,0.0,5.0,5.0,1,0
56,2019.03.25,00:00,1.3215,1.32613,1.31573,1.32005,269799,0,1,0,0,0,0,4.0,3.0,3.0,0,1
57,2019.03.27,00:00,1.32005,1.32693,1.31661,1.31844,159112,0,1,0,0,0,0,-3.0,2.0,5.0,0,0
58,2019.03.28,00:00,1.31862,1.32115,1.30344,1.30401,153532,0,1,0,0,0,0,,5.0,5.0,0,0
59,2019.03.29,00:00,1.30353,1.31358,1.29776,1.30267,143457,0,1,0,0,0,0,,2.0,4.0,0,0
60,2019.04.01,00:00,1.30388,1.31497,1.30058,1.31,128046,1,0,0,0,0,0,-1.0,4.0,4.0,1,0
61,2019.04.02,00:00,1.31,1.31499,1.30135,1.31273,144211,1,0,0,0,0,0,1.0,5.0,2.0,0,0
62,2019.04.03,00:00,1.31189,1.31961,1.3117,1.31526,131336,1,0,0,0,0,0,,3.0,5.0,0,0
63,2019.04.04,00:00,1.31524,1.31911,1.30602,1.30732,130838,0,1,0,0,0,0,,4.0,5.0,0,1
64,2019.04.05,00:00,1.30732,1.31219,1.29869,1.30346,113127,0,1,0,0,0,0,-1.0,4.0,4.0,0,0
65,2019.04.08,00:00,1.30338,1.30742,1.30203,1.30555,100745,1,0,0,0,0,0,-1.0,4.0,4.0,1,0
66,2019.04.09,00:00,1.30558,1.3121,1.30304,1.30449,111416,0,1,0,0,0,0,1.0,2.0,5.0,0,1
67,2019.04.10,00:00,1.3043,1.31199,1.30347,1.3085,114133,1,0,0,0,0,0,0.0,3.0,5.0,1,0
68,2019.04.11,00:00,1.30854,1.31088,1.30499,1.30525,100007,0,1,0,0,0,0,-1.0,4.0,5.0,0,1
69,2019.04.12,00:00,1.30524,1.31326,1.30504,1.307,99959,1,0,0,0,0,0,,2.0,5.0,1,0
70,2019.04.15,00:00,1.30726,1.3119,1.3067,1.30936,88908,1,0,0,0,0,0,-1.0,3.0,5.0,0,0
71,2019.04.16,00:00,1.30936,1.31015,1.30428,1.3045,105468,0,1,0,0,0,0,1.0,5.0,5.0,0,1
