0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork
33,2021.02.17,00:00,1.39017,1.39065,1.38295,1.38616,119221,0,1,0,0,0,0
34,2021.02.18,00:00,1.38606,1.39858,1.38394,1.39747,126419,1,0,0,0,0,0
35,2021.02.19,00:00,1.39727,1.4036,1.39511,1.4001,113548,1,0,0,0,0,0
36,2021.02.22,00:00,1.40095,1.40863,1.39804,1.40628,123179,1,0,0,0,0,0
37,2021.02.23,00:00,1.40613,1.41167,1.40541,1.4109,117763,1,0,0,0,0,0
38,2021.02.24,00:00,1.41089,1.42408,1.4082,1.41405,153664,1,0,0,0,0,0
39,2021.02.25,00:00,1.41405,1.41818,1.40001,1.40067,184933,0,1,0,0,0,0
40,2021.02.26,00:00,1.40065,1.40262,1.38877,1.39249,215202,0,1,0,0,0,0
41,2021.03.01,00:00,1.39178,1.39178,1.39178,1.39178,1,0,0,1,0,0,0
42,2021.03.01,00:00,1.39194,1.39987,1.39037,1.39249,152019,1,0,0,0,0,0
43,2021.03.02,00:00,1.39253,1.39769,1.38587,1.3946,154008,1,0,0,0,0,0
44,2021.03.03,00:00,1.3946,1.4006,1.39206,1.39516,154360,1,0,0,0,0,0
45,2021.03.04,00:00,1.39507,1.40173,1.38801,1.3891,190301,0,1,0,0,0,0
46,2021.03.05,00:00,1.38913,1.39064,1.37785,1.38247,189169,0,1,0,0,0,0
47,2021.03.08,00:00,1.38049,1.38657,1.38,1.38207,176413,1,0,0,0,0,0
48,2021.03.09,00:00,1.38196,1.39254,1.38014,1.38857,159406,1,0,0,0,0,0
49,2021.03.10,00:00,1.38836,1.39379,1.38453,1.3929,156399,1,0,0,0,0,0
50,2021.03.11,00:00,1.39279,1.39957,1.39186,1.39888,144302,1,0,0,0,0,0
51,2021.03.12,00:00,1.39861,1.40048,1.38633,1.39168,149665,0,1,0,0,0,0
52,2021.03.15,00:00,1.39095,1.39494,1.38528,1.38912,134697,0,1,0,0,0,0
53,2021.03.16,00:00,1.38984,1.39058,1.38087,1.38912,130175,0,1,0,0,0,0
54,2021.03.17,00:00,1.38861,1.39707,1.38507,1.39651,134159,1,0,0,0,0,0
55,2021.03.18,00:00,1.39656,1.40013,1.38971,1.39185,163343,0,1,0,0,0,0
56,2021.03.19,00:00,1.39185,1.3959,1.38303,1.38611,134456,0,1,0,0,0,0
57,2021.03.22,00:00,1.38323,1.38766,1.38176,1.38624,98414,1,0,0,0,0,0
58,2021.03.23,00:00,1.38625,1.38643,1.37405,1.37477,125276,0,1,0,0,0,0
59,2021.03.24,00:00,1.3746,1.37573,1.36741,1.36812,115243,0,1,0,0,0,0
60,2021.03.25,00:00,1.36812,1.37453,1.36703,1.37334,119540,1,0,0,0,0,0
61,2021.03.26,00:00,1.37345,1.38123,1.37287,1.37815,98421,1,0,0,0,0,0
62,2021.03.29,00:00,1.37897,1.38467,1.37555,1.37579,107617,0,1,0,0,0,0
63,2021.03.30,00:00,1.37601,1.37833,1.37058,1.37387,105800,0,1,0,0,0,0
64,2021.03.31,00:00,1.37391,1.38117,1.37162,1.37822,119028,1,0,0,0,0,0
65,2021.04.01,00:00,1.37765,1.38365,1.37459,1.38301,124794,1,0,0,0,0,0
66,2021.04.02,00:00,1.38302,1.3852,1.38077,1.38253,100284,0,1,0,0,0,0
67,2021.04.05,00:00,1.38186,1.39134,1.38129,1.38992,70198,1,0,0,0,0,0
68,2021.04.06,00:00,1.38996,1.39184,1.38018,1.38205,110769,0,1,0,0,0,0
69,2021.04.07,00:00,1.38205,1.38398,1.37242,1.37366,123023,0,1,0,0,0,0
70,2021.04.08,00:00,1.37355,1.37823,1.37184,1.37292,106003,0,1,0,0,0,0
71,2021.04.09,00:00,1.37291,1.37503,1.36701,1.37037,105263,0,1,0,0,0,0
72,2021.04.12,00:00,1.37018,1.37766,1.36688,1.3725,104559,1,0,0,0,0,0
73,2021.04.13,00:00,1.37278,1.37687,1.3694,1.37498,116754,1,0,0,0,0,0
74,2021.04.14,00:00,1.37473,1.38086,1.37444,1.37735,107354,1,0,0,0,0,0
75,2021.04.15,00:00,1.37736,1.38088,1.37614,1.37837,112432,1,0,0,0,0,0
76,2021.04.16,00:00,1.37831,1.38422,1.37162,1.38369,114814,1,0,0,0,0,0
77,2021.04.19,00:00,1.38247,1.39925,1.38095,1.39853,132837,1,0,0,0,0,0
78,2021.04.20,00:00,1.39856,1.40089,1.3926,1.39317,120285,0,1,0,0,0,0
79,2021.04.21,00:00,1.3932,1.39495,1.38852,1.39273,112596,0,1,0,0,0,0
80,2021.04.22,00:00,1.39273,1.39494,1.38233,1.38358,127218,0,1,0,0,0,0
81,2021.04.23,00:00,1.3835,1.38953,1.38334,1.38783,108525,1,0,0,0,0,0
82,2021.04.26,00:00,1.38688,1.39294,1.38643,1.38869,108398,1,0,0,0,0,0
83,2021.04.27,00:00,1.38876,1.3924,1.38583,1.39051,99183,1,0,0,0,0,0
84,2021.04.28,00:00,1.39056,1.39504,1.3861,1.39249,123249,1,0,0,0,0,0
85,2021.04.29,00:00,1.39252,1.39761,1.39252,1.39336,128159,1,0,0,0,0,0
86,2021.04.30,00:00,1.39352,1.39581,1.38024,1.38078,127834,0,1,0,0,0,0
87,2021.05.03,00:00,1.38103,1.39314,1.38007,1.39081,97438,1,0,0,0,0,0
88,2021.05.04,00:00,1.39078,1.39113,1.38381,1.38836,133745,0,1,0,0,0,0
89,2021.05.05,00:00,1.38861,1.39261,1.3876,1.38915,101098,1,0,0,0,0,0
90,2021.05.06,00:00,1.38918,1.39405,1.38561,1.38839,121065,0,1,0,0,0,0
91,2021.05.07,00:00,1.38859,1.40054,1.38841,1.39896,121424,1,0,0,0,0,0
92,2021.05.10,00:00,1.40011,1.41582,1.39921,1.41148,126542,1,0,0,0,0,0
93,2021.05.11,00:00,1.41149,1.41663,1.41039,1.41417,135672,1,0,0,0,0,0
94,2021.05.12,00:00,1.41367,1.4153,1.40489,1.40498,133221,0,1,0,0,0,0
95,2021.05.13,00:00,1.40498,1.40778,1.40054,1.40491,142116,0,1,0,0,0,0
96,2021.05.14,00:00,1.40445,1.41111,1.40358,1.40938,116043,1,0,0,0,0,0
97,2021.05.17,00:00,1.40947,1.41466,1.40771,1.41261,113859,1,0,0,0,0,0
98,2021.05.18,00:00,1.41261,1.422,1.41228,1.41823,116366,1,0,0,0,0,0
99,2021.05.19,00:00,1.4184,1.42005,1.40993,1.41123,161818,0,1,0,0,0,0
100,2021.05.20,00:00,1.41116,1.41923,1.41009,1.4188,125557,1,0,0,0,0,0
101,2021.05.21,00:00,1.41886,1.42337,1.41402,1.4145,136160,0,1,0,0,0,0
102,2021.05.24,00:00,1.41501,1.41717,1.4111,1.41551,127395,1,0,0,0,0,0
103,2021.05.25,00:00,1.41532,1.42106,1.41153,1.41488,139816,0,1,0,0,0,0
104,2021.05.26,00:00,1.41488,1.4176,1.4112,1.41183,129541,0,1,0,0,0,0
105,2021.05.27,00:00,1.4115,1.4219,1.40914,1.42036,144422,1,0,0,0,0,0
106,2021.05.28,00:00,1.41975,1.42078,1.41362,1.41853,162414,0,1,0,0,0,0
107,2021.05.31,00:00,1.41747,1.42176,1.41636,1.42034,94749,1,0,0,0,0,0
108,2021.06.01,00:00,1.42035,1.4205,1.42035,1.4205,2,1,0,0,0,0,0
109,2021.06.01,00:00,1.4205,1.42497,1.41462,1.41464,151364,0,1,0,0,0,0
110,2021.06.02,00:00,1.41435,1.41831,1.41115,1.41687,137130,1,0,0,0,0,0
111,2021.06.03,00:00,1.41687,1.42028,1.40866,1.41003,145901,0,1,0,0,0,0
112,2021.06.04,00:00,1.41005,1.42003,1.4083,1.41586,141135,1,0,0,0,0,0
113,2021.06.07,00:00,1.41407,1.41905,1.4111,1.41794,124938,1,0,0,0,0,0
