0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork
644,2020.06.03,12:00,1.25712,1.26026,1.25541,1.25689,30286,0,1,0,0,1,0
645,2020.06.03,16:00,1.25689,1.26153,1.25534,1.25916,42652,1,0,0,0,1,1
646,2020.06.03,20:00,1.25917,1.25951,1.25686,1.25686,17608,0,1,0,0,0,1
647,2020.06.04,00:00,1.25686,1.25805,1.25293,1.2541,9005,0,1,0,0,0,0
648,2020.06.04,04:00,1.25409,1.25479,1.25352,1.25408,14151,0,1,0,1,0,0
649,2020.06.04,08:00,1.25413,1.25469,1.25005,1.25168,20607,0,1,0,1,0,0
650,2020.06.04,12:00,1.25168,1.25805,1.25084,1.25388,34674,1,0,0,0,1,0
651,2020.06.04,16:00,1.25388,1.26269,1.25294,1.26011,46216,1,0,0,0,1,1
652,2020.06.04,20:00,1.26009,1.26331,1.25846,1.25948,23954,0,1,0,0,0,1
653,2020.06.05,00:00,1.2595,1.26132,1.25855,1.25931,9404,0,1,0,0,0,0
654,2020.06.05,04:00,1.25937,1.26231,1.25828,1.26136,15088,1,0,0,1,0,0
655,2020.06.05,08:00,1.26135,1.26903,1.2606,1.26367,28582,1,0,0,1,0,0
656,2020.06.05,12:00,1.2637,1.26807,1.2618,1.26565,35027,1,0,0,0,1,0
657,2020.06.05,16:00,1.26562,1.2731,1.2652,1.26802,43282,1,0,0,0,1,1
658,2020.06.05,20:00,1.26804,1.27295,1.26607,1.27044,26400,1,0,0,0,0,1
659,2020.06.08,04:00,1.27044,1.27138,1.26897,1.271,13151,1,0,0,1,0,0
660,2020.06.08,08:00,1.27096,1.27105,1.26759,1.27014,22870,0,1,0,1,0,0
661,2020.06.08,12:00,1.27013,1.27015,1.2628,1.26691,25666,0,1,0,0,1,0
662,2020.06.08,16:00,1.26691,1.27049,1.26669,1.2698,31413,1,0,0,0,1,1
663,2020.06.08,20:00,1.26979,1.27358,1.26968,1.27225,15779,1,0,0,0,0,1
664,2020.06.09,00:00,1.27228,1.27556,1.27221,1.27346,7305,1,0,0,0,0,0
665,2020.06.09,04:00,1.27346,1.27355,1.2698,1.27021,14526,0,1,0,1,0,0
666,2020.06.09,08:00,1.27021,1.27204,1.26178,1.26415,27594,0,1,0,1,0,0
667,2020.06.09,12:00,1.26416,1.26782,1.26309,1.26607,30044,1,0,0,0,1,0
668,2020.06.09,16:00,1.26605,1.27457,1.26592,1.27438,34403,1,0,0,0,1,1
669,2020.06.09,20:00,1.27438,1.27452,1.27238,1.27278,14018,0,1,0,0,0,1
670,2020.06.10,00:00,1.27224,1.2742,1.27062,1.27223,8300,0,1,0,0,0,0
671,2020.06.10,04:00,1.27221,1.27465,1.27201,1.27421,12975,1,0,0,1,0,0
672,2020.06.10,08:00,1.27421,1.27863,1.27399,1.27643,28507,1,0,0,1,0,0
673,2020.06.10,12:00,1.27644,1.28028,1.27278,1.27875,29445,1,0,0,0,1,0
674,2020.06.10,16:00,1.27874,1.27996,1.27418,1.27552,34968,0,1,0,0,1,1
675,2020.06.10,20:00,1.27554,1.2813,1.27207,1.27429,44636,0,1,0,0,0,1
676,2020.06.11,00:00,1.27435,1.27545,1.27079,1.27398,12880,0,1,0,0,0,0
677,2020.06.11,04:00,1.27398,1.27503,1.26707,1.26826,26575,0,1,0,1,0,0
678,2020.06.11,08:00,1.26827,1.27004,1.2651,1.2698,40005,1,0,0,1,0,0
679,2020.06.11,12:00,1.26978,1.27196,1.26379,1.2648,38007,0,1,0,0,1,0
680,2020.06.11,16:00,1.26481,1.2685,1.26184,1.26259,52502,0,1,0,0,1,1
681,2020.06.11,20:00,1.26255,1.26275,1.25862,1.25998,39699,0,1,0,0,0,1
682,2020.06.12,00:00,1.25967,1.26012,1.2552,1.25555,14939,0,1,0,0,0,0
683,2020.06.12,04:00,1.25554,1.25783,1.25452,1.25732,26084,1,0,0,1,0,0
684,2020.06.12,08:00,1.25733,1.26453,1.2571,1.26327,37550,1,0,0,1,0,0
685,2020.06.12,12:00,1.26328,1.26534,1.25911,1.25924,36844,0,1,0,0,1,0
686,2020.06.12,16:00,1.25924,1.26092,1.25021,1.25036,56055,0,1,0,0,1,1
687,2020.06.12,20:00,1.25039,1.25505,1.24737,1.25414,38602,1,0,0,0,0,1
688,2020.06.15,00:00,1.25088,1.25221,1.24861,1.25001,17887,0,1,0,0,0,0
689,2020.06.15,04:00,1.25004,1.25252,1.2497,1.25166,26308,1,0,0,1,0,0
690,2020.06.15,08:00,1.25165,1.25479,1.2454,1.25417,46150,1,0,0,1,0,0
