0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance
23681,2020.12.14,02:00,1.2133,1.21333,1.21259,1.21301,619,0,1,0,1,0,0,5.0,5.0,3.0,0,0
23682,2020.12.14,02:15,1.21302,1.21306,1.21253,1.21263,560,0,1,0,1,0,0,,5.0,5.0,0,0
23683,2020.12.14,02:30,1.21265,1.21295,1.21243,1.21248,673,0,1,0,1,0,0,2.0,3.0,5.0,0,0
23684,2020.12.14,02:45,1.21248,1.21296,1.21156,1.21208,1276,0,1,0,1,0,0,5.0,4.0,4.0,0,0
23685,2020.12.14,03:00,1.21207,1.21221,1.21187,1.21201,927,0,1,0,1,0,0,-2.0,3.0,3.0,0,0
23686,2020.12.14,03:15,1.212,1.21242,1.212,1.21235,471,1,0,0,1,0,0,-3.0,5.0,5.0,1,0
23687,2020.12.14,03:30,1.21234,1.21279,1.21227,1.21279,625,1,0,0,1,0,0,2.0,5.0,5.0,0,0
23688,2020.12.14,03:45,1.21278,1.21315,1.21265,1.2129,604,1,0,0,1,0,0,,3.0,4.0,0,0
23689,2020.12.14,04:00,1.21289,1.2133,1.21283,1.21302,650,1,0,0,1,0,0,0.0,3.0,5.0,0,0
23690,2020.12.14,04:15,1.21301,1.21327,1.21301,1.21323,466,1,0,0,1,0,0,-2.0,5.0,5.0,0,0
23691,2020.12.14,04:30,1.21323,1.21325,1.21291,1.21307,430,0,1,0,1,0,0,,5.0,3.0,0,1
23692,2020.12.14,04:45,1.21309,1.21332,1.21307,1.21317,406,1,0,0,1,0,0,,3.0,5.0,1,0
23693,2020.12.14,05:00,1.21321,1.21334,1.21306,1.21322,399,1,0,0,1,0,0,,3.0,3.0,0,0
23694,2020.12.14,05:15,1.21323,1.21336,1.21312,1.21326,460,1,0,0,1,0,0,1.0,3.0,3.0,0,0
23695,2020.12.14,05:30,1.21326,1.21328,1.21306,1.21321,273,0,1,0,1,0,0,-3.0,5.0,2.0,0,1
