0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length
86,2019.05.03,00:00,145.254,146.507,144.806,146.379,153798,1,0,0,0,0,0,0.0,5.0,4.0
87,2019.05.06,00:00,145.39,145.942,144.987,145.044,177855,0,1,0,0,0,0,1.0,3.0,5.0
88,2019.05.07,00:00,145.035,145.367,143.862,144.13,189554,0,1,0,0,0,0,0.0,4.0,5.0
89,2019.05.08,00:00,144.13,144.19,143.039,143.161,200438,0,1,0,0,0,0,0.0,5.0,5.0
90,2019.05.09,00:00,143.164,143.243,142.229,142.618,202604,0,1,0,0,0,0,0.0,5.0,4.0
91,2019.05.10,00:00,142.636,143.239,142.51,142.988,218839,1,0,0,0,0,0,0.0,4.0,5.0
92,2019.05.13,00:00,142.619,142.872,141.203,141.602,195756,0,1,0,0,0,0,-1.0,5.0,4.0
93,2019.05.14,00:00,141.602,142.176,141.36,141.413,174834,0,1,0,0,0,0,-1.0,2.0,5.0
94,2019.05.15,00:00,141.418,141.647,140.203,140.731,192955,0,1,0,0,0,0,1.0,5.0,4.0
95,2019.05.16,00:00,140.732,140.792,140.205,140.516,171074,0,1,0,0,0,0,-1.0,5.0,3.0
96,2019.05.17,00:00,140.518,140.684,139.547,139.923,194463,0,1,0,0,0,0,1.0,5.0,4.0
97,2019.05.20,00:00,140.181,140.53,139.7,140.012,165155,0,1,0,0,0,0,-1.0,3.0,4.0
98,2019.05.21,00:00,140.012,141.733,139.65,140.377,181935,1,0,0,0,0,0,1.0,2.0,5.0
99,2019.05.22,00:00,140.348,140.702,139.315,139.617,181109,0,1,0,0,0,0,,4.0,4.0
100,2019.05.23,00:00,139.554,139.718,138.528,138.694,198856,0,1,0,0,0,0,0.0,5.0,5.0
101,2019.05.24,00:00,138.691,139.49,138.51,138.918,171725,1,0,0,0,0,0,-1.0,3.0,5.0
102,2019.05.27,00:00,139.055,139.644,138.68,138.835,144035,0,1,0,0,0,0,-1.0,2.0,5.0
103,2019.05.28,00:00,138.832,139.014,138.29,138.38,195881,0,1,0,0,0,0,2.0,4.0,5.0
104,2019.05.29,00:00,138.382,138.584,137.872,138.338,194125,0,1,0,0,0,0,,4.0,2.0
105,2019.05.30,00:00,138.336,138.737,138.058,138.174,170832,0,1,0,0,0,0,-1.0,3.0,5.0
106,2019.05.31,00:00,138.176,138.225,136.631,136.783,229681,0,1,0,0,0,0,2.0,5.0,5.0
107,2019.06.03,00:00,136.733,137.121,136.617,136.845,212223,1,0,0,0,0,0,,3.0,4.0
108,2019.06.04,00:00,136.845,137.473,136.559,137.295,209041,1,0,0,0,0,0,,5.0,4.0
109,2019.06.05,00:00,137.296,137.783,137.2,137.567,209896,1,0,0,0,0,0,0.0,4.0,5.0
110,2019.06.06,00:00,137.567,137.807,136.989,137.559,213660,0,1,0,0,0,0,0.0,4.0,2.0
111,2019.06.07,00:00,137.535,138.167,137.483,137.83,200258,1,0,0,0,0,0,,3.0,5.0
112,2019.06.10,00:00,137.992,138.258,137.481,137.541,186071,0,1,0,0,0,0,,4.0,5.0
113,2019.06.11,00:00,137.541,138.329,137.496,138.026,201157,1,0,0,0,0,0,0.0,4.0,5.0
114,2019.06.12,00:00,138.017,138.243,137.562,137.662,208548,0,1,0,0,0,0,0.0,4.0,5.0
115,2019.06.13,00:00,137.662,137.783,137.101,137.275,193059,0,1,0,0,0,0,,5.0,4.0
116,2019.06.14,00:00,137.222,137.419,136.514,136.656,191614,0,1,0,0,0,0,,4.0,5.0
117,2019.06.17,00:00,136.478,136.934,136.003,136.031,142685,0,1,0,0,0,0,-2.0,3.0,5.0
118,2019.06.18,00:00,136.032,136.249,135.381,136.176,195297,1,0,0,0,0,0,2.0,5.0,2.0
119,2019.06.19,00:00,136.171,137.002,135.786,136.639,188582,1,0,0,0,0,0,,4.0,4.0
120,2019.06.20,00:00,136.64,137.177,136.197,136.294,240339,0,1,0,0,0,0,2.0,3.0,5.0
121,2019.06.21,00:00,136.294,136.838,135.943,136.798,220104,1,0,0,0,0,0,,5.0,4.0
122,2019.06.24,00:00,136.622,137.13,136.491,136.676,178644,1,0,0,0,0,0,-1.0,2.0,4.0
123,2019.06.25,00:00,136.653,136.843,135.807,135.875,218937,0,1,0,0,0,0,2.0,5.0,5.0
124,2019.06.26,00:00,135.875,136.895,135.85,136.744,210614,1,0,0,0,0,0,,5.0,5.0
125,2019.06.27,00:00,136.74,137.335,136.419,136.49,194969,0,1,0,0,0,0,,2.0,5.0
126,2019.06.28,00:00,136.484,137.203,136.275,137.023,185401,1,0,0,0,0,0,,5.0,4.0
127,2019.07.01,00:00,137.33,137.79,136.738,137.036,199735,0,1,0,0,0,0,0.0,3.0,4.0
128,2019.07.02,00:00,137.049,137.136,135.838,135.838,174628,0,1,0,0,0,0,-1.0,5.0,5.0
129,2019.07.03,00:00,135.835,135.936,135.173,135.453,158432,0,1,0,0,0,0,,5.0,4.0
130,2019.07.04,00:00,135.454,135.717,135.436,135.591,111020,1,0,0,0,0,0,-2.0,3.0,5.0
131,2019.07.05,00:00,135.598,136.043,135.486,135.833,163705,1,0,0,0,0,0,3.0,4.0,4.0
132,2019.07.08,00:00,135.812,136.132,135.545,136.073,135275,1,0,0,0,0,0,-1.0,5.0,3.0
